date,title,amount
2025-02-01,Salario Empresa,-6500.00
2025-02-01,Pagamento recebido Freelance Design,-800.00
2025-02-03,iFood - Jantar,45.90
2025-02-04,Uber - Trajeto trabalho,18.50
2025-02-05,Supermercado Carrefour,312.80
2025-02-06,Netflix,55.90
2025-02-06,Spotify,21.90
2025-02-07,Farmácia Drogasil,67.40
2025-02-08,iFood - Almoço,38.70
2025-02-10,Restaurante Sushi Hiro,120.00
2025-02-11,Posto Ipiranga - Gasolina,280.00
2025-02-12,Uber - Saída noturna,32.00
2025-02-13,Amazon - Livro Clean Code,89.90
2025-02-14,Restaurante jantar romântico,195.00
2025-02-15,Conta de Luz - Enel,187.40
2025-02-15,Conta de Internet - Vivo,99.90
2025-02-17,iFood - Café da manhã,29.50
2025-02-18,Supermercado Pão de Açucar,198.60
2025-02-19,Farmácia Ultrafarma,43.20
2025-02-20,Disney Plus,45.90
2025-02-21,Uber Eats - Pizza,62.00
2025-02-22,Posto Shell - Gasolina,260.00
2025-02-24,Padaria São Jorge,32.80
2025-02-25,Supermercado Atacadão,420.00
2025-02-26,iFood - Jantar,55.00
2025-02-27,Farmácia Raia,28.90
2025-02-28,Pagamento recebido Consultoria,-450.00
2025-03-01,Salario Empresa,-6500.00
2025-03-01,Pagamento recebido Freela Logo,-350.00
2025-03-03,iFood - Almoço,42.50
2025-03-04,Uber - Trabalho,21.00
2025-03-05,Supermercado Carrefour,289.40
2025-03-06,Netflix,55.90
2025-03-06,Spotify,21.90
2025-03-07,Posto Ipiranga - Gasolina,295.00
2025-03-08,Restaurante Churrascaria,185.00
2025-03-10,Farmácia Drogasil,52.30
2025-03-11,Amazon - Fone de ouvido,299.00
2025-03-12,iFood - Jantar,38.90
2025-03-13,Uber - Shopping,27.50
2025-03-14,Shopping - Roupa Renner,320.00
2025-03-15,Conta de Luz - Enel,201.70
2025-03-15,Conta de Internet - Vivo,99.90
2025-03-17,Padaria São Jorge,28.50
2025-03-18,Supermercado Pão de Açucar,215.80
2025-03-19,iFood - Café,24.90
2025-03-20,Disney Plus,45.90
2025-03-21,Restaurante Pizza Hut,97.50
2025-03-22,Posto Shell - Gasolina,270.00
2025-03-24,Farmácia Ultrafarma,61.40
2025-03-25,Supermercado Atacadão,385.00
2025-03-26,Uber Eats - Hamburguer,58.00
2025-03-27,Xbox Game Pass,44.90
2025-03-28,Mercado Livre - Capa Celular,45.90
2025-03-29,iFood - Jantar,47.60
2025-03-30,Pagamento recebido Suporte TI,-600.00
2025-04-01,Salario Empresa,-6500.00
2025-04-01,Pagamento recebido Freela Web,-1200.00
2025-04-03,iFood - Almoço,36.80
2025-04-04,Uber - Aeroporto,95.00
2025-04-05,Supermercado Carrefour,304.20
2025-04-06,Netflix,55.90
2025-04-06,Spotify,21.90
2025-04-07,Posto Ipiranga - Gasolina,310.00
2025-04-08,Hotel - Viagem SP,480.00
2025-04-09,Latam - Passagem Aérea,890.00
2025-04-10,Restaurante SP - Almoço,78.00
2025-04-11,Airbnb - Hospedagem,320.00
2025-04-12,iFood - Jantar,52.40
2025-04-13,Posto Shell - Gasolina,255.00
2025-04-14,Farmácia Drogasil,38.90
2025-04-15,Conta de Luz - Enel,178.30
2025-04-15,Conta de Internet - Vivo,99.90
2025-04-16,Supermercado Pão de Açucar,225.60
2025-04-17,Amazon - Suporte Monitor,189.00
2025-04-18,iFood - Café da manhã,31.50
2025-04-19,Disney Plus,45.90
2025-04-21,Restaurante Sushi,145.00
2025-04-22,Uber Eats - Lanche,49.90
2025-04-23,Supermercado Atacadão,398.00
2025-04-24,Farmácia Ultrafarma,72.10
2025-04-25,Shopee - Cabo USB,29.90
2025-04-26,iFood - Jantar,43.70
2025-04-28,Bar - Confraternização,130.00
2025-04-29,Posto Ipiranga - Gasolina,285.00
2025-04-30,Pagamento recebido Projeto App,-950.00
2025-05-01,Salario Empresa,-6500.00
2025-05-01,Pagamento recebido Consultoria Mensal,-750.00
2025-05-02,iFood - Almoço,44.20
2025-05-03,Uber - Trabalho,19.50
2025-05-05,Supermercado Carrefour,347.80
2025-05-06,Netflix,55.90
2025-05-06,Spotify,21.90
2025-05-07,Farmácia Raia,55.60
2025-05-08,Restaurante Dia das Maes,280.00
2025-05-09,Amazon - Presente,210.00
2025-05-10,Posto Shell - Gasolina,290.00
2025-05-12,iFood - Jantar,57.30
2025-05-13,Uber Eats - Pizza,68.00
2025-05-14,Supermercado Pão de Açucar,198.40
2025-05-15,Conta de Luz - Enel,195.80
2025-05-15,Conta de Internet - Vivo,99.90
2025-05-16,Padaria São Jorge,34.60
2025-05-17,Disney Plus,45.90
2025-05-19,Xbox Game Pass,44.90
2025-05-20,Farmácia Drogasil,48.70
2025-05-21,Supermercado Atacadão,412.00
2025-05-22,iFood - Almoço,38.90
2025-05-23,Posto Ipiranga - Gasolina,305.00
2025-05-24,Restaurante Hamburguer,89.00
2025-05-25,Shopee - Organizador,67.50
2025-05-26,iFood - Jantar,45.80
2025-05-27,Mercado Livre - Teclado,189.90
2025-05-28,Uber - Saída noturna,41.00
2025-05-29,Bar Cervejaria,115.00
2025-05-31,Pagamento recebido Freela UI,-500.00
2025-06-01,Salario Empresa,-6500.00
2025-06-01,Pagamento recebido Consultoria,-800.00
2025-06-02,iFood - Almoço,41.50
2025-06-03,Uber - Trabalho,22.50
2025-06-04,Supermercado Carrefour,318.20
2025-06-06,Netflix,55.90
2025-06-06,Spotify,21.90
2025-06-07,Posto Shell - Gasolina,275.00
2025-06-08,Restaurante Churrascaria,210.00
2025-06-09,Farmácia Drogasil,44.80
2025-06-10,Amazon - Livros,124.70
2025-06-11,iFood - Jantar,53.20
2025-06-12,Uber Eats - Sushi,98.00
2025-06-13,Supermercado Pão de Açucar,234.60
2025-06-14,Ingresso Show,180.00
2025-06-15,Conta de Luz - Enel,210.50
2025-06-15,Conta de Internet - Vivo,99.90
2025-06-16,Padaria São Jorge,27.40
2025-06-17,Disney Plus,45.90
2025-06-18,Xbox Game Pass,44.90
2025-06-19,Farmácia Ultrafarma,58.90
2025-06-20,Supermercado Atacadão,376.00
2025-06-21,iFood - Almoço,36.70
2025-06-22,Posto Ipiranga - Gasolina,295.00
2025-06-23,Restaurante Pizza,97.00
2025-06-24,Shopee - Luminária,89.90
2025-06-25,iFood - Jantar,48.60
2025-06-26,Mercado Livre - Mousepad,59.90
2025-06-27,Uber - Saída,35.00
2025-06-28,Bar - Happy Hour,95.00
2025-06-30,Pagamento recebido Projeto E-commerce,-1800.00
2025-07-01,Salario Empresa,-6500.00
2025-07-01,Pagamento recebido Freela Mobile,-2500.00
2025-07-02,iFood - Almoço,39.80
2025-07-03,Uber - Trabalho,24.00
2025-07-04,Supermercado Carrefour,287.90
2025-07-06,Netflix,55.90
2025-07-06,Spotify,21.90
2025-07-07,Posto Shell - Gasolina,285.00
2025-07-08,Restaurante Japonês,165.00
2025-07-09,Farmácia Drogasil,52.10
2025-07-10,Amazon - Webcam,249.00
2025-07-11,iFood - Jantar,46.30
2025-07-12,Uber Eats - Hamburguer,63.00
2025-07-13,Supermercado Pão de Açucar,219.80
2025-07-14,Booking - Hotel Ferias,1200.00
2025-07-14,Azul - Passagem Ferias,1540.00
2025-07-15,Conta de Luz - Enel,188.90
2025-07-15,Conta de Internet - Vivo,99.90
2025-07-16,Disney Plus,45.90
2025-07-17,Xbox Game Pass,44.90
2025-07-18,Farmácia Ultrafarma,39.40
2025-07-19,Restaurante Ferias Buzios,320.00
2025-07-20,Supermercado Atacadão,351.00
2025-07-21,Posto Ipiranga - Gasolina,300.00
2025-07-22,iFood - Almoço,35.90
2025-07-23,Ingresso Parque,120.00
2025-07-24,Shopee - Biquini,79.90
2025-07-25,Restaurante Frutos do Mar,198.00
2025-07-26,iFood - Jantar,52.00
2025-07-27,Mercado Livre - Carregador,69.90
2025-07-28,Uber - Retorno Aeroporto,88.00
2025-07-29,Farmácia Raia,37.60
2025-07-30,Supermercado Carrefour,312.40
2025-07-31,Pagamento recebido Bonus Empresa,-1000.00
